Rack,Date_Time,Device,State
MUW,2022-01-01 15:39:33,pH Pump,0
MUW,2022-01-01 16:01:15,Conductivity Pump,1
MUW,2022-01-01 16:03:51,Conductivity Pump,0
MUW,2022-01-01 16:05:31,Conductivity Pump,1
MUW,2022-01-01 16:08:31,Conductivity Pump,0
MUW,2022-01-01 16:10:11,Conductivity Pump,1
MUW,2022-01-01 16:11:54,pH Pump,1
MUW,2022-01-01 16:12:14,pH Pump,0
MUW,2022-01-01 16:13:11,Conductivity Pump,0
MUW,2022-01-01 16:14:31,pH Pump,1
MUW,2022-01-01 16:14:51,Conductivity Pump,1
MUW,2022-01-01 16:17:51,Conductivity Pump,0
MUW,2022-01-01 16:18:32,pH Pump,1
MUW,2022-01-01 16:18:51,pH Pump,0
MUW,2022-01-01 16:19:31,Conductivity Pump,1
MUW,2022-01-01 16:22:31,Conductivity Pump,0
MUW,2022-01-01 16:22:32,pH Pump,1
MUW,2022-01-01 16:22:51,pH Pump,0
MUW,2022-01-01 16:24:11,Conductivity Pump,1
MUW,2022-01-01 16:26:31,pH Pump,1
MUW,2022-01-01 16:26:52,pH Pump,0
MUW,2022-01-01 16:27:11,Conductivity Pump,0
MUW,2022-01-01 16:28:52,Conductivity Pump,1
MUW,2022-01-01 16:30:31,pH Pump,1
MUW,2022-01-01 16:30:52,pH Pump,0
MUW,2022-01-01 16:31:51,Conductivity Pump,0
MUW,2022-01-01 16:33:31,Conductivity Pump,1
MUW,2022-01-01 16:34:31,pH Pump,1
MUW,2022-01-01 16:34:52,pH Pump,0
MUW,2022-01-01 16:36:31,Conductivity Pump,0
MUW,2022-01-01 16:38:12,Conductivity Pump,1
MUW,2022-01-01 16:38:32,pH Pump,1
MUW,2022-01-01 16:38:51,pH Pump,0
MUW,2022-01-01 16:41:11,Conductivity Pump,0
MUW,2022-01-01 16:42:32,pH Pump,1
MUW,2022-01-01 16:42:51,Conductivity Pump,1
MUW,2022-01-01 16:45:51,Conductivity Pump,0
MUW,2022-01-01 16:46:32,pH Pump,1
MUW,2022-01-01 16:46:51,pH Pump,0
MUW,2022-01-01 16:47:31,Conductivity Pump,1
MUW,2022-01-01 16:50:31,Conductivity Pump,0
MUW,2022-01-01 16:50:32,pH Pump,1
MUW,2022-01-01 16:50:51,pH Pump,0
MUW,2022-01-01 16:54:31,pH Pump,1
MUW,2022-01-01 16:54:52,pH Pump,0
MUW,2022-01-01 16:58:32,pH Pump,1
MUW,2022-01-01 16:58:51,pH Pump,0
MUW,2022-01-01 17:08:56,Conductivity Pump,1
MUW,2022-01-01 17:11:56,Conductivity Pump,0
MUW,2022-01-01 17:13:14,Conductivity Pump,1
MUW,2022-01-01 17:16:14,Conductivity Pump,0
MUW,2022-01-01 17:17:55,Conductivity Pump,1
MUW,2022-01-01 17:20:54,Conductivity Pump,0
MUW,2022-01-01 17:35:08,pH Pump,1
MUW,2022-01-01 17:35:28,pH Pump,0
MUW,2022-01-01 17:39:08,pH Pump,1
MUW,2022-01-01 17:39:28,pH Pump,0
MUW,2022-01-01 17:42:14,Conductivity Pump,1
MUW,2022-01-01 17:43:08,pH Pump,1
MUW,2022-01-01 17:43:28,pH Pump,0
MUW,2022-01-01 17:45:13,Conductivity Pump,0
MUW,2022-01-01 17:46:21,Conductivity Pump,1
MUW,2022-01-01 17:47:08,pH Pump,1
MUW,2022-01-01 17:47:28,pH Pump,0
MUW,2022-01-01 17:49:21,Conductivity Pump,0
MUW,2022-01-01 17:51:01,Conductivity Pump,1
MUW,2022-01-01 17:51:08,pH Pump,1
MUW,2022-01-01 17:51:28,pH Pump,0
MUW,2022-01-01 17:54:01,Conductivity Pump,0
MUW,2022-01-01 17:55:08,pH Pump,1
MUW,2022-01-01 17:55:29,pH Pump,0
MUW,2022-01-01 17:55:42,Conductivity Pump,1
MUW,2022-01-01 17:58:41,Conductivity Pump,0
MUW,2022-01-01 17:59:08,pH Pump,1
MUW,2022-01-01 17:59:28,pH Pump,0
MUW,2022-01-01 18:00:21,Conductivity Pump,1
MUW,2022-01-01 18:03:08,pH Pump,1
MUW,2022-01-01 18:03:21,Conductivity Pump,0
MUW,2022-01-01 18:03:28,pH Pump,0
MUW,2022-01-01 18:05:02,Conductivity Pump,1
MUW,2022-01-01 18:07:09,pH Pump,1
MUW,2022-01-01 18:07:28,pH Pump,0
MUW,2022-01-01 18:08:01,Conductivity Pump,0
MUW,2022-01-01 18:09:41,Conductivity Pump,1
MUW,2022-01-01 18:11:08,pH Pump,1
MUW,2022-01-01 18:11:28,pH Pump,0
MUW,2022-01-01 18:12:41,Conductivity Pump,0
MUW,2022-01-01 18:14:22,Conductivity Pump,1
MUW,2022-01-01 18:15:08,pH Pump,1
MUW,2022-01-01 18:15:29,pH Pump,0
MUW,2022-01-01 18:17:21,Conductivity Pump,0
MUW,2022-01-01 18:19:01,Conductivity Pump,1
MUW,2022-01-01 18:22:01,Conductivity Pump,0
MUW,2022-01-01 18:23:41,Conductivity Pump,1
MUW,2022-01-01 18:26:41,Conductivity Pump,0
MUW,2022-01-01 18:28:22,Conductivity Pump,1
MUW,2022-01-01 18:30:06,Conductivity Pump,0
MUW,2022-01-01 18:49:11,Conductivity Pump,1
MUW,2022-01-01 18:52:12,Conductivity Pump,0
MUW,2022-01-01 18:53:52,Conductivity Pump,1
MUW,2022-01-01 18:54:27,pH Pump,1
MUW,2022-01-01 18:54:46,pH Pump,0
MUW,2022-01-01 18:56:51,Conductivity Pump,0
MUW,2022-01-01 18:58:27,pH Pump,1
MUW,2022-01-01 18:58:32,Conductivity Pump,1
MUW,2022-01-01 18:58:46,pH Pump,0
MUW,2022-01-01 19:01:32,Conductivity Pump,0
MUW,2022-01-01 19:02:27,pH Pump,1
MUW,2022-01-01 19:02:46,pH Pump,0
MUW,2022-01-01 19:06:26,pH Pump,1
MUW,2022-01-01 19:06:47,pH Pump,0
MUW,2022-01-01 19:10:26,pH Pump,1
MUW,2022-01-01 19:10:47,pH Pump,0
MUW,2022-01-01 19:14:27,pH Pump,1
MUW,2022-01-01 19:14:47,pH Pump,0
MUW,2022-01-01 19:18:26,pH Pump,1
MUW,2022-01-01 19:18:47,pH Pump,0
MUW,2022-01-01 19:20:58,Conductivity Pump,1
MUW,2022-01-01 19:22:26,pH Pump,1
MUW,2022-01-01 19:22:46,pH Pump,0
MUW,2022-01-01 19:23:57,Conductivity Pump,0
MUW,2022-01-01 19:25:38,Conductivity Pump,1
MUW,2022-01-01 19:26:27,pH Pump,1
MUW,2022-01-01 19:26:46,pH Pump,0
MUW,2022-01-01 19:28:37,Conductivity Pump,0
MUW,2022-01-01 19:30:18,Conductivity Pump,1
MUW,2022-01-01 19:30:27,pH Pump,1
MUW,2022-01-01 19:30:46,pH Pump,0
MUW,2022-01-01 19:33:17,Conductivity Pump,0
MUW,2022-01-01 19:34:26,pH Pump,1
MUW,2022-01-01 19:34:47,pH Pump,0
MUW,2022-01-01 19:34:58,Conductivity Pump,1
MUW,2022-01-01 19:37:57,Conductivity Pump,0
MUW,2022-01-01 19:38:26,pH Pump,1
MUW,2022-01-01 19:38:47,pH Pump,0
MUW,2022-01-01 19:39:37,Conductivity Pump,1
MUW,2022-01-01 19:42:26,pH Pump,1
MUW,2022-01-01 19:42:37,Conductivity Pump,0
MUW,2022-01-01 19:42:46,pH Pump,0
MUW,2022-01-01 19:44:17,Conductivity Pump,1
MUW,2022-01-01 19:47:18,Conductivity Pump,0
MUW,2022-01-01 19:48:57,Conductivity Pump,1
MUW,2022-01-01 19:51:57,Conductivity Pump,0
MUW,2022-01-01 19:53:38,Conductivity Pump,1
MUW,2022-01-01 19:56:37,Conductivity Pump,0
MUW,2022-01-01 19:58:18,Conductivity Pump,1
MUW,2022-01-01 20:01:17,Conductivity Pump,0
MUW,2022-01-01 20:02:57,Conductivity Pump,1
MUW,2022-01-01 20:05:58,Conductivity Pump,0
MUW,2022-01-01 20:07:38,Conductivity Pump,1
MUW,2022-01-01 20:07:54,Conductivity Pump,0
MUW,2022-01-01 20:22:45,pH Pump,1
MUW,2022-01-01 20:23:04,pH Pump,0
MUW,2022-01-01 20:23:31,Conductivity Pump,1
MUW,2022-01-01 20:25:56,pH Pump,1
MUW,2022-01-01 20:26:13,Conductivity Pump,0
MUW,2022-01-01 20:26:16,pH Pump,0
MUW,2022-01-01 20:27:53,Conductivity Pump,1
MUW,2022-01-01 20:29:57,pH Pump,1
MUW,2022-01-01 20:30:16,pH Pump,0
MUW,2022-01-01 20:30:53,Conductivity Pump,0
MUW,2022-01-01 20:32:33,Conductivity Pump,1
MUW,2022-01-01 20:33:57,pH Pump,1
MUW,2022-01-01 20:34:16,pH Pump,0
MUW,2022-01-01 20:35:33,Conductivity Pump,0
MUW,2022-01-01 20:37:13,Conductivity Pump,1
MUW,2022-01-01 20:37:35,Conductivity Pump,0
MUW,2022-01-01 20:37:57,pH Pump,1
MUW,2022-01-01 20:38:17,pH Pump,0
MUW,2022-01-01 20:41:57,pH Pump,1
MUW,2022-01-01 20:42:17,pH Pump,0
MUW,2022-01-01 20:45:57,pH Pump,1
MUW,2022-01-01 20:46:16,pH Pump,0
MUW,2022-01-01 20:49:56,pH Pump,1
MUW,2022-01-01 20:50:17,pH Pump,0
MUW,2022-01-01 20:53:56,pH Pump,1
MUW,2022-01-01 20:54:17,pH Pump,0
MUW,2022-01-01 20:54:20,Conductivity Pump,1
MUW,2022-01-01 20:57:20,Conductivity Pump,0
MUW,2022-01-01 20:57:57,pH Pump,1
MUW,2022-01-01 20:58:17,pH Pump,0
MUW,2022-01-01 20:59:00,Conductivity Pump,1
MUW,2022-01-01 21:01:57,pH Pump,1
MUW,2022-01-01 21:02:00,Conductivity Pump,0
MUW,2022-01-01 21:02:16,pH Pump,0
MUW,2022-01-01 21:03:40,Conductivity Pump,1
MUW,2022-01-01 21:05:57,pH Pump,1
MUW,2022-01-01 21:06:17,pH Pump,0
MUW,2022-01-01 21:06:40,Conductivity Pump,0
MUW,2022-01-01 21:08:20,Conductivity Pump,1
MUW,2022-01-01 21:08:59,Conductivity Pump,0
MUW,2022-01-01 21:09:57,pH Pump,1
MUW,2022-01-01 21:10:17,pH Pump,0
MUW,2022-01-01 21:18:33,Conductivity Pump,1
MUW,2022-01-01 21:21:27,Conductivity Pump,0
MUW,2022-01-01 21:23:08,Conductivity Pump,1
MUW,2022-01-01 21:26:07,Conductivity Pump,0
MUW,2022-01-01 21:27:48,Conductivity Pump,1
MUW,2022-01-01 21:30:47,Conductivity Pump,0
MUW,2022-01-01 21:32:28,Conductivity Pump,1
MUW,2022-01-01 21:35:28,Conductivity Pump,0
MUW,2022-01-01 21:37:08,Conductivity Pump,1
MUW,2022-01-01 21:40:08,Conductivity Pump,0
MUW,2022-01-01 21:41:48,Conductivity Pump,1
MUW,2022-01-01 21:44:48,Conductivity Pump,0
MUW,2022-01-01 21:46:28,Conductivity Pump,1
MUW,2022-01-01 21:49:28,Conductivity Pump,0
MUW,2022-01-01 21:51:08,Conductivity Pump,1
MUW,2022-01-01 21:54:07,Conductivity Pump,0
MUW,2022-01-01 21:54:55,pH Pump,1
MUW,2022-01-01 21:55:15,pH Pump,0
MUW,2022-01-01 21:55:48,Conductivity Pump,1
MUW,2022-01-01 21:58:47,Conductivity Pump,0
MUW,2022-01-01 21:58:54,pH Pump,1
MUW,2022-01-01 21:59:15,pH Pump,0
MUW,2022-01-01 22:00:28,Conductivity Pump,1
MUW,2022-01-01 22:01:23,Conductivity Pump,0
MUW,2022-01-01 22:02:54,pH Pump,1
MUW,2022-01-01 22:03:14,pH Pump,0
MUW,2022-01-01 22:06:54,pH Pump,1
MUW,2022-01-01 22:07:14,pH Pump,0
MUW,2022-01-01 22:10:54,pH Pump,1
MUW,2022-01-01 22:11:15,pH Pump,0
MUW,2022-01-01 22:14:55,pH Pump,1
MUW,2022-01-01 22:15:14,pH Pump,0
MUW,2022-01-01 22:18:54,pH Pump,1
MUW,2022-01-01 22:19:14,pH Pump,0
MUW,2022-01-01 22:19:30,Conductivity Pump,1
MUW,2022-01-01 22:21:47,Conductivity Pump,0
MUW,2022-01-01 22:22:54,pH Pump,1
MUW,2022-01-01 22:23:15,pH Pump,0
MUW,2022-01-01 22:23:27,Conductivity Pump,1
MUW,2022-01-01 22:26:27,Conductivity Pump,0
MUW,2022-01-01 22:26:54,pH Pump,1
MUW,2022-01-01 22:27:15,pH Pump,0
MUW,2022-01-01 22:28:07,Conductivity Pump,1
MUW,2022-01-01 22:30:55,pH Pump,1
MUW,2022-01-01 22:31:07,Conductivity Pump,0
MUW,2022-01-01 22:31:15,pH Pump,0
MUW,2022-01-01 22:32:47,Conductivity Pump,1
MUW,2022-01-01 22:32:49,Conductivity Pump,0
MUW,2022-01-01 22:50:58,Conductivity Pump,1
MUW,2022-01-01 22:53:58,Conductivity Pump,0
MUW,2022-01-01 22:55:38,Conductivity Pump,1
MUW,2022-01-01 22:58:38,Conductivity Pump,0
MUW,2022-01-01 23:00:18,Conductivity Pump,1
MUW,2022-01-01 23:03:18,Conductivity Pump,0
MUW,2022-01-01 23:04:58,Conductivity Pump,1
MUW,2022-01-01 23:07:58,Conductivity Pump,0
MUW,2022-01-01 23:09:38,Conductivity Pump,1
MUW,2022-01-01 23:10:58,pH Pump,1
MUW,2022-01-01 23:11:18,pH Pump,0
MUW,2022-01-01 23:12:38,Conductivity Pump,0
MUW,2022-01-01 23:14:18,Conductivity Pump,1
MUW,2022-01-01 23:14:25,pH Pump,1
MUW,2022-01-01 23:14:45,pH Pump,0
MUW,2022-01-01 23:17:18,Conductivity Pump,0
MUW,2022-01-01 23:18:24,pH Pump,1
MUW,2022-01-01 23:18:45,pH Pump,0
MUW,2022-01-01 23:18:58,Conductivity Pump,1
MUW,2022-01-01 23:21:58,Conductivity Pump,0
MUW,2022-01-01 23:22:24,pH Pump,1
MUW,2022-01-01 23:22:45,pH Pump,0
MUW,2022-01-01 23:23:38,Conductivity Pump,1
MUW,2022-01-01 23:26:24,pH Pump,1
MUW,2022-01-01 23:26:38,Conductivity Pump,0
MUW,2022-01-01 23:26:45,pH Pump,0
MUW,2022-01-01 23:28:18,Conductivity Pump,1
MUW,2022-01-01 23:30:25,pH Pump,1
MUW,2022-01-01 23:30:45,pH Pump,0
MUW,2022-01-01 23:31:18,Conductivity Pump,0
MUW,2022-01-01 23:32:58,Conductivity Pump,1
MUW,2022-01-01 23:34:25,pH Pump,1
MUW,2022-01-01 23:34:45,pH Pump,0
MUW,2022-01-01 23:35:58,Conductivity Pump,0
MUW,2022-01-01 23:37:38,Conductivity Pump,1
MUW,2022-01-01 23:38:25,pH Pump,1
MUW,2022-01-01 23:38:45,pH Pump,0
MUW,2022-01-01 23:40:38,Conductivity Pump,0
MUW,2022-01-01 23:42:24,pH Pump,1
MUW,2022-01-01 23:42:44,pH Pump,0
MUW,2021-12-31 21:21:14,pH Pump,0
MUW,2021-12-31 21:22:26,Conductivity Pump,1
MUW,2021-12-31 21:24:07,Conductivity Pump,0
MUW,2021-12-31 21:24:54,pH Pump,1
MUW,2021-12-31 21:25:14,pH Pump,0
MUW,2021-12-31 21:25:47,Conductivity Pump,1
MUW,2021-12-31 21:28:47,Conductivity Pump,0
MUW,2021-12-31 21:30:27,Conductivity Pump,1
MUW,2021-12-31 21:33:27,Conductivity Pump,0
MUW,2021-12-31 21:35:07,Conductivity Pump,1
MUW,2021-12-31 21:36:24,Conductivity Pump,0
MUW,2021-12-31 21:52:15,Conductivity Pump,1
MUW,2021-12-31 21:55:14,Conductivity Pump,0
MUW,2021-12-31 21:56:55,Conductivity Pump,1
MUW,2021-12-31 21:59:22,pH Pump,1
MUW,2021-12-31 21:59:42,pH Pump,0
MUW,2021-12-31 21:59:55,Conductivity Pump,0
MUW,2021-12-31 22:01:35,Conductivity Pump,1
MUW,2021-12-31 22:02:11,Heat Ex Comp,1
MUW,2021-12-31 22:02:56,pH Pump,1
MUW,2021-12-31 22:03:16,pH Pump,0
MUW,2021-12-31 22:04:34,Conductivity Pump,0
MUW,2021-12-31 22:06:15,Conductivity Pump,1
MUW,2021-12-31 22:06:56,pH Pump,1
MUW,2021-12-31 22:07:16,pH Pump,0
MUW,2021-12-31 22:09:15,Conductivity Pump,0
MUW,2021-12-31 22:10:55,Conductivity Pump,1
MUW,2021-12-31 22:10:56,pH Pump,1
MUW,2021-12-31 22:11:16,pH Pump,0
MUW,2021-12-31 22:13:54,Conductivity Pump,0
MUW,2021-12-31 22:14:56,pH Pump,1
MUW,2021-12-31 22:15:16,pH Pump,0
MUW,2021-12-31 22:15:35,Conductivity Pump,1
MUW,2021-12-31 22:18:34,Conductivity Pump,0
MUW,2021-12-31 22:18:57,pH Pump,1
MUW,2021-12-31 22:19:16,pH Pump,0
MUW,2021-12-31 22:20:15,Conductivity Pump,1
MUW,2021-12-31 22:22:57,pH Pump,1
MUW,2021-12-31 22:23:15,Conductivity Pump,0
MUW,2021-12-31 22:23:16,pH Pump,0
MUW,2021-12-31 22:24:55,Conductivity Pump,1
MUW,2021-12-31 22:26:56,pH Pump,1
MUW,2021-12-31 22:27:16,pH Pump,0
MUW,2021-12-31 22:27:55,Conductivity Pump,0
MUW,2021-12-31 22:29:35,Conductivity Pump,1
MUW,2021-12-31 22:30:56,pH Pump,1
MUW,2021-12-31 22:31:16,pH Pump,0
MUW,2021-12-31 22:32:34,Conductivity Pump,0
MUW,2021-12-31 22:34:15,Conductivity Pump,1
MUW,2021-12-31 22:34:56,pH Pump,1
MUW,2021-12-31 22:35:16,pH Pump,0
MUW,2021-12-31 22:37:15,Conductivity Pump,0
MUW,2021-12-31 22:38:56,pH Pump,1
MUW,2021-12-31 22:39:16,pH Pump,0
MUW,2021-12-31 22:42:15,Heat Ex Comp,0
MUW,2021-12-31 22:42:56,pH Pump,1
MUW,2021-12-31 22:43:16,pH Pump,0
MUW,2021-12-31 22:46:56,pH Pump,1
MUW,2021-12-31 22:47:16,pH Pump,0
MUW,2021-12-31 22:50:57,pH Pump,1
MUW,2021-12-31 22:51:16,pH Pump,0
MUW,2021-12-31 22:59:05,Conductivity Pump,1
MUW,2021-12-31 23:02:04,Conductivity Pump,0
MUW,2021-12-31 23:03:45,Conductivity Pump,1
MUW,2021-12-31 23:06:44,Conductivity Pump,0
MUW,2021-12-31 23:08:25,Conductivity Pump,1
MUW,2021-12-31 23:11:24,Conductivity Pump,0
MUW,2021-12-31 23:17:07,pH Pump,1
MUW,2021-12-31 23:17:27,pH Pump,0
MUW,2021-12-31 23:20:47,pH Pump,1
MUW,2021-12-31 23:21:07,pH Pump,0
MUW,2021-12-31 23:24:47,pH Pump,1
MUW,2021-12-31 23:25:07,pH Pump,0
MUW,2021-12-31 23:27:16,Conductivity Pump,1
MUW,2021-12-31 23:28:47,pH Pump,1
MUW,2021-12-31 23:29:07,pH Pump,0
MUW,2021-12-31 23:30:15,Conductivity Pump,0
MUW,2021-12-31 23:31:24,Conductivity Pump,1
MUW,2021-12-31 23:32:47,pH Pump,1
MUW,2021-12-31 23:33:07,pH Pump,0
MUW,2021-12-31 23:34:24,Conductivity Pump,0
MUW,2021-12-31 23:36:04,Conductivity Pump,1
MUW,2021-12-31 23:36:47,pH Pump,1
MUW,2021-12-31 23:37:07,pH Pump,0
MUW,2021-12-31 23:37:33,Heat Ex Comp,1
MUW,2021-12-31 23:39:04,Conductivity Pump,0
MUW,2021-12-31 23:40:44,Conductivity Pump,1
MUW,2021-12-31 23:40:47,pH Pump,1
MUW,2021-12-31 23:41:07,pH Pump,0
MUW,2021-12-31 23:43:44,Conductivity Pump,0
MUW,2021-12-31 23:44:47,pH Pump,1
MUW,2021-12-31 23:45:07,pH Pump,0
MUW,2021-12-31 23:45:24,Conductivity Pump,1
MUW,2021-12-31 23:48:24,Conductivity Pump,0
MUW,2021-12-31 23:48:47,pH Pump,1
MUW,2021-12-31 23:49:07,pH Pump,0
MUW,2021-12-31 23:50:04,Conductivity Pump,1
MUW,2021-12-31 23:52:47,pH Pump,1
MUW,2021-12-31 23:53:04,Conductivity Pump,0
MUW,2021-12-31 23:53:07,pH Pump,0
MUW,2021-12-31 23:54:44,Conductivity Pump,1
MUW,2021-12-31 23:56:49,pH Pump,1
MUW,2021-12-31 23:57:09,pH Pump,0
MUW,2021-12-31 23:57:45,Conductivity Pump,0
MUW,2021-12-31 23:59:26,Conductivity Pump,1
MUW,2022-01-01 00:00:49,pH Pump,1
MUW,2022-01-01 00:01:09,pH Pump,0
MUW,2022-01-01 00:02:25,Conductivity Pump,0
MUW,2022-01-01 00:04:06,Conductivity Pump,1
MUW,2022-01-01 00:04:49,pH Pump,1
MUW,2022-01-01 00:05:09,pH Pump,0
MUW,2022-01-01 00:07:05,Conductivity Pump,0
MUW,2022-01-01 00:08:45,Conductivity Pump,1
MUW,2022-01-01 00:10:12,Conductivity Pump,0
MUW,2022-01-01 00:13:07,Heat Ex Comp,0
MUW,2022-01-01 00:29:01,Conductivity Pump,1
MUW,2022-01-01 00:32:00,Conductivity Pump,0
MUW,2022-01-01 00:33:40,Conductivity Pump,1
MUW,2022-01-01 00:34:11,pH Pump,1
MUW,2022-01-01 00:34:31,pH Pump,0
MUW,2022-01-01 00:36:40,Conductivity Pump,0
MUW,2022-01-01 00:37:23,pH Pump,1
MUW,2022-01-01 00:37:44,pH Pump,0
MUW,2022-01-01 00:38:21,Conductivity Pump,1
MUW,2022-01-01 00:41:20,Conductivity Pump,0
MUW,2022-01-01 00:41:23,pH Pump,1
MUW,2022-01-01 00:41:43,pH Pump,0
MUW,2022-01-01 00:43:01,Conductivity Pump,1
MUW,2022-01-01 00:43:14,Conductivity Pump,0
MUW,2022-01-01 00:45:23,pH Pump,1
MUW,2022-01-01 00:45:44,pH Pump,0
MUW,2022-01-01 00:49:23,pH Pump,1
MUW,2022-01-01 00:49:43,pH Pump,0
MUW,2022-01-01 00:53:23,pH Pump,1
MUW,2022-01-01 00:53:44,pH Pump,0
MUW,2022-01-01 00:57:23,pH Pump,1
MUW,2022-01-01 00:57:43,pH Pump,0
MUW,2022-01-01 01:00:40,Conductivity Pump,1
MUW,2022-01-01 01:01:24,pH Pump,1
MUW,2022-01-01 01:01:43,pH Pump,0
MUW,2022-01-01 01:03:39,Conductivity Pump,0
MUW,2022-01-01 01:05:19,Conductivity Pump,1
MUW,2022-01-01 01:05:23,pH Pump,1
MUW,2022-01-01 01:05:44,pH Pump,0
MUW,2022-01-01 01:08:19,Conductivity Pump,0
MUW,2022-01-01 01:09:23,pH Pump,1
MUW,2022-01-01 01:09:44,pH Pump,0
MUW,2022-01-01 01:10:00,Conductivity Pump,1
MUW,2022-01-01 01:13:00,Conductivity Pump,0
MUW,2022-01-01 01:13:23,pH Pump,1
MUW,2022-01-01 01:13:44,pH Pump,0
MUW,2022-01-01 01:14:40,Conductivity Pump,1
MUW,2022-01-01 01:16:29,Heat Ex Comp,1
