Rack_Number,Date,Time,Level,Temperature,pH,Conductivity,Flow
Rack 12,11/30/2021,14:50:11,23.4,26.4,7.64,800,17
Rack 12,11/30/2021,14:51:11,23.4,26.3,7.64,801,17
Rack 12,11/30/2021,14:52:11,23.4,26.1,7.64,797,17
Rack 12,11/30/2021,14:53:11,23.4,25.9,7.64,795,17
Rack 12,11/30/2021,14:54:11,23.5,26,7.64,795,17
Rack 12,11/30/2021,14:55:11,23.4,26.1,7.64,798,18
Rack 12,11/30/2021,14:56:11,23.4,26.2,7.64,797,17
Rack 12,11/30/2021,14:57:11,23.4,26.2,7.64,799,18
Rack 12,11/30/2021,14:58:11,23.4,26.3,7.64,798,17
Rack 12,11/30/2021,14:59:11,23.4,26.3,7.64,798,18
Rack 12,11/30/2021,15:00:11,23.4,26.3,7.64,798,17
Rack 12,11/30/2021,15:01:11,23.5,26.3,7.64,797,17
Rack 12,11/30/2021,15:02:11,23.4,26.3,7.61,801,18
Rack 12,11/30/2021,15:03:11,23.4,26.4,7.61,805,18
Rack 12,11/30/2021,15:04:11,23.5,26.4,7.61,805,17
Rack 12,11/30/2021,15:05:11,23.3,26.4,7.61,803,17
Rack 12,11/30/2021,15:06:11,23.4,26.4,7.64,803,17
Rack 12,11/30/2021,15:07:11,23.4,26.4,7.64,804,18
Rack 12,11/30/2021,15:08:11,23.4,26.4,7.64,802,17
Rack 12,11/30/2021,15:09:11,23.4,26.4,7.64,802,17
Rack 12,11/30/2021,15:10:11,23.4,26.4,7.64,801,17
Rack 12,11/30/2021,15:11:11,23.5,26.4,7.64,801,17
Rack 12,11/30/2021,15:12:11,23.3,26.4,7.64,801,18
Rack 12,11/30/2021,15:13:11,23.4,26.4,7.64,801,17
Rack 12,11/30/2021,15:14:11,23.3,26.4,7.64,801,17
Rack 12,11/30/2021,15:15:11,23.4,26.4,7.64,803,18
Rack 12,11/30/2021,15:16:11,23.3,26.2,7.64,801,17
Rack 12,11/30/2021,15:17:11,23.3,26,7.64,800,18
Rack 12,11/30/2021,15:18:11,23.3,25.9,7.66,797,18
Rack 12,11/30/2021,15:19:12,23.2,26.1,7.67,799,18
Rack 12,11/30/2021,15:20:11,23.3,26.2,7.66,803,18
Rack 12,11/30/2021,15:21:12,23.3,26.2,7.67,803,17
Rack 12,11/30/2021,15:22:11,23.3,26.2,7.67,802,17
Rack 12,11/30/2021,15:23:12,23.3,26.3,7.66,801,17
Rack 12,11/30/2021,15:24:11,23.3,26.3,7.66,801,17
Rack 12,11/30/2021,15:25:12,23.3,26.3,7.67,801,18
Rack 12,11/30/2021,15:26:11,23.3,26.3,7.64,801,18
Rack 12,11/30/2021,15:27:12,23.3,26.3,7.64,801,17
Rack 12,11/30/2021,15:28:11,23.2,26.3,7.67,801,17
Rack 12,11/30/2021,15:29:12,23.1,26.4,7.66,801,17
Rack 12,11/30/2021,15:30:11,23.2,26.4,7.67,801,18
Rack 12,11/30/2021,15:31:12,23.3,26.4,7.67,801,17
Rack 12,11/30/2021,15:32:11,23.3,26.4,7.67,803,17
Rack 12,11/30/2021,15:33:12,23.2,26.4,7.67,802,18
Rack 12,11/30/2021,15:34:12,23.2,26.4,7.67,803,17
Rack 12,11/30/2021,15:35:12,23.2,26.4,7.67,802,17
Rack 12,11/30/2021,15:36:12,23.3,26.4,7.67,803,18
Rack 12,11/30/2021,15:37:12,23.2,26.4,7.67,803,17
Rack 12,11/30/2021,15:38:12,23.2,26.4,7.67,802,17
Rack 12,11/30/2021,15:39:12,23.1,26.2,7.67,802,18
Rack 12,11/30/2021,15:40:12,23.2,26,7.67,800,18
Rack 12,11/30/2021,15:41:12,23.3,25.9,7.67,798,17
Rack 12,11/30/2021,15:42:12,23.2,26,7.67,801,17
Rack 12,11/30/2021,15:43:12,22.9,26.1,7.67,803,18
Rack 12,11/30/2021,15:44:12,22.6,26.2,7.67,803,17
Rack 12,11/30/2021,15:45:12,22.5,26.2,7.66,802,18
Rack 12,11/30/2021,15:46:12,22.4,26.3,7.67,802,17
Rack 12,11/30/2021,15:47:12,22.3,26.2,7.67,799,17
Rack 12,11/30/2021,15:48:12,22.3,26.2,7.67,798,17
Rack 12,11/30/2021,15:49:12,22.2,26.2,7.67,798,17
Rack 12,11/30/2021,15:50:12,22.2,26.2,7.67,798,17
Rack 12,11/30/2021,15:51:12,22.4,26.2,7.67,798,18
Rack 12,11/30/2021,15:52:12,22.6,26.2,7.67,797,17
Rack 12,11/30/2021,15:53:12,22.8,26.3,7.67,797,17
Rack 12,11/30/2021,15:54:12,22.9,26.3,7.67,797,17
Rack 12,11/30/2021,15:55:12,23,26.3,7.67,797,17
Rack 12,11/30/2021,15:56:12,23.1,26.3,7.67,795,18
Rack 12,11/30/2021,15:57:12,23,26.3,7.67,797,17
Rack 12,11/30/2021,15:58:12,23,26.3,7.67,798,17
Rack 12,11/30/2021,15:59:12,23.1,26.3,7.67,797,18
Rack 12,11/30/2021,16:00:12,23.1,26.3,7.67,798,17
Rack 12,11/30/2021,16:01:12,23.1,26.3,7.67,798,18
Rack 12,11/30/2021,16:02:12,23.2,26.3,7.67,798,17
Rack 12,11/30/2021,16:03:12,23.1,26.4,7.66,800,17
Rack 12,11/30/2021,16:04:12,23.2,26.4,7.67,801,18
Rack 12,11/30/2021,16:05:12,23.2,26.4,7.67,801,17
Rack 12,11/30/2021,16:06:12,23.2,26.4,7.67,799,17
Rack 12,11/30/2021,16:07:12,23.2,26.4,7.66,800,18
Rack 12,11/30/2021,16:08:12,23.2,26.5,7.64,800,17
Rack 12,11/30/2021,16:09:12,23.2,26.4,7.64,799,17
Rack 12,11/30/2021,16:10:12,23.1,26.2,7.64,798,17
Rack 12,11/30/2021,16:11:12,23.1,26,7.64,798,17
Rack 12,11/30/2021,16:12:12,23.2,25.9,7.64,795,17
Rack 12,11/30/2021,16:13:12,23.2,26.1,7.67,797,18
Rack 12,11/30/2021,16:14:12,23.2,26.1,7.64,799,17
Rack 12,11/30/2021,16:15:12,23.3,26.2,7.64,799,18
Rack 12,11/30/2021,16:16:12,23.4,26.2,7.64,800,17
Rack 12,11/30/2021,16:17:12,23.4,26.3,7.64,800,17
Rack 12,11/30/2021,16:18:13,23.4,26.3,7.64,801,17
Rack 12,11/30/2021,16:19:13,23.1,26.3,7.64,801,17
Rack 12,11/30/2021,16:20:13,23.2,26.3,7.64,800,17
Rack 12,11/30/2021,16:21:13,23.3,26.3,7.64,799,18
Rack 12,11/30/2021,16:22:13,23.3,26.3,7.64,798,17
Rack 12,11/30/2021,16:23:13,23.3,26.3,7.64,800,18
Rack 12,11/30/2021,16:24:12,23.2,26.4,7.64,799,17
Rack 12,11/30/2021,16:25:12,23.2,26.4,7.64,800,17
Rack 12,11/30/2021,16:26:12,23.2,26.3,7.64,800,18
Rack 12,11/30/2021,16:27:12,23.3,26.4,7.64,800,17
Rack 12,11/30/2021,16:28:13,23.2,26.4,7.64,799,17
Rack 12,11/30/2021,16:29:13,23.2,26.4,7.64,800,17
Rack 12,11/30/2021,16:30:13,23.2,26.4,7.64,799,17
Rack 12,11/30/2021,16:31:13,23.2,26.4,7.64,798,17
Rack 12,11/30/2021,16:32:13,23.3,26.4,7.64,800,17
Rack 12,11/30/2021,16:33:13,23.3,26.4,7.64,799,18
Rack 12,11/30/2021,16:34:13,23.3,26.4,7.64,799,17
Rack 12,11/30/2021,16:35:13,23.2,26.4,7.64,803,17
Rack 12,11/30/2021,16:36:13,23.3,26.4,7.64,801,18
Rack 12,11/30/2021,16:37:13,23.3,26.4,7.64,799,18
Rack 12,11/30/2021,16:38:13,23.2,26.4,7.64,800,18
Rack 12,11/30/2021,16:39:13,23.3,26.2,7.64,800,17
Rack 12,11/30/2021,16:40:13,23.3,26,7.66,797,17
Rack 12,11/30/2021,16:41:13,23.2,25.9,7.66,797,17
Rack 12,11/30/2021,16:42:13,23.2,26.1,7.66,798,17
Rack 12,11/30/2021,16:43:13,23.3,26.2,7.67,799,18
Rack 12,11/30/2021,16:44:13,23.3,26.2,7.67,801,18
Rack 12,11/30/2021,16:45:13,23.2,26.3,7.67,801,17
Rack 12,11/30/2021,16:46:13,23.1,26.3,7.67,800,18
Rack 12,11/30/2021,16:47:13,23.2,26.3,7.67,800,17
Rack 12,11/30/2021,16:48:13,23.2,26.3,7.66,800,17
Rack 12,11/30/2021,16:49:13,23.3,26.3,7.67,800,17
Rack 12,11/30/2021,16:50:13,23.2,26.3,7.67,799,18
Rack 12,11/30/2021,16:51:13,23.3,26.4,7.67,801,17
Rack 12,11/30/2021,16:52:13,23.3,26.4,7.66,799,18
Rack 12,11/30/2021,16:53:13,23.3,26.4,7.67,800,17
Rack 12,11/30/2021,16:54:13,23.2,26.4,7.67,800,17
Rack 12,11/30/2021,16:55:13,23.2,26.4,7.67,799,18
Rack 12,11/30/2021,16:56:13,23.3,26.4,7.67,801,17
Rack 12,11/30/2021,16:57:13,23.3,26.4,7.67,801,18
Rack 12,11/30/2021,16:58:13,23.3,26.4,7.67,800,17
Rack 12,11/30/2021,16:59:13,23.2,26.4,7.67,800,18
Rack 12,11/30/2021,17:00:13,23.2,26.4,7.67,800,18
Rack 12,11/30/2021,17:01:13,23.2,26.4,7.66,799,17
Rack 12,11/30/2021,17:02:13,23.3,26.4,7.67,800,17
Rack 12,11/30/2021,17:03:13,23.3,26.1,7.67,798,17
Rack 12,11/30/2021,17:04:13,23.3,26,7.67,797,17
Rack 12,11/30/2021,17:05:13,23.2,26,7.67,797,18
Rack 12,11/30/2021,17:06:13,23.2,26.1,7.67,799,18
Rack 12,11/30/2021,17:07:13,23.2,26.2,7.67,801,17
Rack 12,11/30/2021,17:08:13,23.3,26.2,7.67,801,17
Rack 12,11/30/2021,17:09:13,23.3,26.3,7.67,802,17
Rack 12,11/30/2021,17:10:13,23.3,26.3,7.67,799,18
Rack 12,11/30/2021,17:11:13,23.3,26.3,7.67,800,17
Rack 12,11/30/2021,17:12:14,23.3,26.3,7.67,800,18
Rack 12,11/30/2021,17:13:14,23.3,26.3,7.67,800,18
Rack 12,11/30/2021,17:14:14,23.3,26.3,7.67,801,18
Rack 12,11/30/2021,17:15:14,23.2,26.3,7.67,800,17
Rack 12,11/30/2021,17:16:14,23.2,26.4,7.67,801,18
Rack 12,11/30/2021,17:17:14,23.3,26.4,7.66,799,17
Rack 12,11/30/2021,17:18:14,23.3,26.4,7.66,799,17
Rack 12,11/30/2021,17:19:14,23.2,26.4,7.67,801,18
Rack 12,11/30/2021,17:20:13,23.3,26.4,7.67,798,17
Rack 12,11/30/2021,17:21:13,23.3,26.4,7.67,800,18
Rack 12,11/30/2021,17:22:13,23.2,26.4,7.67,801,17
Rack 12,11/30/2021,17:23:14,22.9,26.4,7.64,799,18
Rack 12,11/30/2021,17:24:14,22.6,26.4,7.64,798,17
Rack 12,11/30/2021,17:25:14,22.5,26.4,7.64,798,17
Rack 12,11/30/2021,17:26:14,22.4,26.4,7.64,801,18
Rack 12,11/30/2021,17:27:14,22.3,26.4,7.64,800,17
Rack 12,11/30/2021,17:28:14,22.3,26.4,7.64,799,17
Rack 12,11/30/2021,17:29:14,22.3,26.4,7.64,798,17
Rack 12,11/30/2021,17:30:14,22.2,26.4,7.67,797,18
Rack 12,11/30/2021,17:31:14,22.3,26.4,7.64,797,17
Rack 12,11/30/2021,17:32:14,22.6,26.4,7.64,795,17
Rack 12,11/30/2021,17:33:14,22.8,26.4,7.64,795,18
Rack 12,11/30/2021,17:34:14,22.9,26.4,7.64,797,17
Rack 12,11/30/2021,17:35:14,23,26.4,7.64,797,17
Rack 12,11/30/2021,17:36:14,23,26.4,7.64,797,17
Rack 12,11/30/2021,17:37:14,23,26.4,7.64,797,17
Rack 12,11/30/2021,17:38:14,23.1,26.4,7.67,797,18
Rack 12,11/30/2021,17:39:14,23.1,26.3,7.64,797,17
Rack 12,11/30/2021,17:40:14,23.1,26.1,7.64,795,18
Rack 12,11/30/2021,17:41:14,23.1,25.9,7.67,795,17
Rack 12,11/30/2021,17:42:14,23.1,26,7.67,795,17
Rack 12,11/30/2021,17:43:14,23.1,26.1,7.67,798,17
Rack 12,11/30/2021,17:44:14,23.2,26.2,7.66,798,17
Rack 12,11/30/2021,17:45:14,23.2,26.2,7.67,798,17
Rack 12,11/30/2021,17:46:14,23.1,26.3,7.67,800,17
Rack 12,11/30/2021,17:47:14,23.1,26.3,7.67,798,17
Rack 12,11/30/2021,17:48:14,23.2,26.3,7.67,800,18
Rack 12,11/30/2021,17:49:14,23.2,26.3,7.67,799,18
Rack 12,11/30/2021,17:50:14,23.2,26.4,7.67,797,17
Rack 12,11/30/2021,17:51:14,23.2,26.3,7.67,798,17
Rack 12,11/30/2021,17:52:14,23.2,26.4,7.67,798,18
Rack 12,11/30/2021,17:53:14,23.2,26.4,7.67,797,18
Rack 12,11/30/2021,17:54:14,23.2,26.4,7.67,797,18
Rack 12,11/30/2021,17:55:14,23.1,26.4,7.67,797,18
Rack 12,11/30/2021,17:56:14,23.2,26.4,7.67,797,17
Rack 12,11/30/2021,17:57:14,23.2,26.4,7.64,798,17
Rack 12,11/30/2021,17:58:14,23.3,26.4,7.67,797,17
Rack 12,11/30/2021,17:59:14,23.3,26.4,7.64,797,17
Rack 12,11/30/2021,18:00:14,23.2,26.4,7.66,797,17
Rack 12,11/30/2021,18:01:14,23.3,26.4,7.67,797,17
Rack 12,11/30/2021,18:02:15,23.3,26.1,7.67,797,18
Rack 12,11/30/2021,18:03:15,23.3,26,7.67,795,17
Rack 12,11/30/2021,18:04:15,23.2,26,7.67,795,18
Rack 12,11/30/2021,18:05:15,23.3,26.1,7.66,795,17
Rack 12,11/30/2021,18:06:15,23.3,26.1,7.66,797,18
Rack 12,11/30/2021,18:07:15,23.3,26.2,7.66,797,18
Rack 12,11/30/2021,18:08:15,23.2,26.2,7.67,798,17
Rack 12,11/30/2021,18:09:15,23.3,26.3,7.67,798,17
Rack 12,11/30/2021,18:10:14,23.3,26.3,7.67,798,17
Rack 12,11/30/2021,18:11:14,23.3,26.3,7.67,798,18
Rack 12,11/30/2021,18:12:14,23.2,26.3,7.67,800,17
Rack 12,11/30/2021,18:13:14,23.3,26.3,7.64,798,18
Rack 12,11/30/2021,18:14:14,23.3,26.3,7.64,799,17
Rack 12,11/30/2021,18:15:15,23.3,26.3,7.64,798,18
Rack 12,11/30/2021,18:16:15,23.3,26.3,7.64,798,17
Rack 12,11/30/2021,18:17:15,23.2,26.3,7.64,798,18
Rack 12,11/30/2021,18:18:15,23.3,26.3,7.64,798,18
Rack 12,11/30/2021,18:19:15,23.3,26.3,7.64,798,18
Rack 12,11/30/2021,18:20:15,23.3,26.4,7.64,798,17
Rack 12,11/30/2021,18:21:15,23.3,26.4,7.64,798,17
Rack 12,11/30/2021,18:22:15,23.3,26.4,7.64,798,18
Rack 12,11/30/2021,18:23:15,23.3,26.4,7.64,798,18
Rack 12,11/30/2021,18:24:15,23.3,26.4,7.64,799,18
Rack 12,11/30/2021,18:25:15,23.3,26.4,7.64,798,17
Rack 12,11/30/2021,18:26:15,23.2,26.4,7.64,797,17
Rack 12,11/30/2021,18:27:15,23.2,26.2,7.64,798,17
Rack 12,11/30/2021,18:28:15,23.2,26,7.67,795,18
Rack 12,11/30/2021,18:29:15,23.3,25.9,7.67,795,17
Rack 12,11/30/2021,18:30:15,23.3,26,7.67,797,17
Rack 12,11/30/2021,18:31:15,23.2,26.1,7.67,799,17
Rack 12,11/30/2021,18:32:15,23.2,26.2,7.67,798,18
Rack 12,11/30/2021,18:33:15,23.3,26.2,7.67,800,17
Rack 12,11/30/2021,18:34:15,23.3,26.3,7.64,799,17
Rack 12,11/30/2021,18:35:15,23.3,26.3,7.67,798,18
Rack 12,11/30/2021,18:36:15,23.3,26.3,7.67,798,18
Rack 12,11/30/2021,18:37:15,23.3,26.3,7.67,798,17
Rack 12,11/30/2021,18:38:15,23.3,26.3,7.64,798,17
Rack 12,11/30/2021,18:39:15,23.3,26.3,7.67,798,17
Rack 12,11/30/2021,18:40:15,23.4,26.3,7.64,798,17
Rack 12,11/30/2021,18:41:15,23.4,26.3,7.64,798,17
Rack 12,11/30/2021,18:42:15,23.4,26.3,7.64,798,17
Rack 12,11/30/2021,18:43:15,23.4,26.3,7.67,799,17
Rack 12,11/30/2021,18:44:15,23.5,26.4,7.64,798,17
Rack 12,11/30/2021,18:45:15,23.4,26.4,7.64,798,18
Rack 12,11/30/2021,18:46:15,23.4,26.4,7.64,798,17
Rack 12,11/30/2021,18:47:15,23.4,26.4,7.64,798,18
Rack 12,11/30/2021,18:48:15,23.4,26.4,7.64,798,17
Rack 12,11/30/2021,18:49:15,23.4,26.4,7.67,797,18
Rack 12,11/30/2021,18:50:15,23.4,26.4,7.67,798,17
Rack 12,11/30/2021,18:51:15,23.4,26.4,7.67,798,18
Rack 12,11/30/2021,18:52:15,23.4,26.4,7.67,798,18
Rack 12,11/30/2021,18:53:16,23.4,26.4,7.64,798,17
Rack 12,11/30/2021,18:54:16,23.5,26.4,7.67,797,17
Rack 12,11/30/2021,18:55:16,23.4,26.3,7.64,798,17
Rack 12,11/30/2021,18:56:15,23.4,26.1,7.67,797,17
Rack 12,11/30/2021,18:57:15,23.4,25.9,7.67,795,17
Rack 12,11/30/2021,18:58:15,23.4,26,7.67,795,17
Rack 12,11/30/2021,18:59:15,23.3,26.1,7.66,797,16
Rack 12,11/30/2021,19:00:15,23.4,26.2,7.67,798,18
Rack 12,11/30/2021,19:01:15,23.3,26.2,7.67,798,17
Rack 12,11/30/2021,19:02:15,23.2,26.3,7.67,798,17
Rack 12,11/30/2021,19:03:15,22.9,26.3,7.67,798,17
Rack 12,11/30/2021,19:04:15,22.7,26.3,7.67,799,18
Rack 12,11/30/2021,19:05:15,22.6,26.3,7.67,798,18
Rack 12,11/30/2021,19:06:16,22.4,26.3,7.67,797,17
Rack 12,11/30/2021,19:07:16,22.4,26.3,7.67,797,17
Rack 12,11/30/2021,19:08:16,22.3,26.3,7.67,796,18
Rack 12,11/30/2021,19:09:16,22.3,26.3,7.67,795,17
Rack 12,11/30/2021,19:10:16,22.2,26.3,7.66,795,17
Rack 12,11/30/2021,19:11:16,22.4,26.3,7.67,794,18
Rack 12,11/30/2021,19:12:16,22.6,26.3,7.67,793,17
Rack 12,11/30/2021,19:13:16,22.8,26.3,7.67,793,17
Rack 12,11/30/2021,19:14:16,22.9,26.3,7.66,793,17
Rack 12,11/30/2021,19:15:16,23,26.3,7.67,793,17
Rack 12,11/30/2021,19:16:16,23,26.3,7.66,793,17
Rack 12,11/30/2021,19:17:16,23,26.3,7.67,794,17
Rack 12,11/30/2021,19:18:16,23.1,26.3,7.67,794,17
Rack 12,11/30/2021,19:19:16,23.1,26.3,7.67,794,17
Rack 12,11/30/2021,19:20:16,23.1,26.3,7.67,794,18
Rack 12,11/30/2021,19:21:16,23.1,26.4,7.66,795,18
Rack 12,11/30/2021,19:22:16,23.1,26.4,7.67,795,17
Rack 12,11/30/2021,19:23:16,23.1,26.4,7.67,795,18
Rack 12,11/30/2021,19:24:16,23.2,26.4,7.67,795,17
Rack 12,11/30/2021,19:25:16,23.2,26.4,7.67,795,17
Rack 12,11/30/2021,19:26:16,23.2,26.4,7.67,795,18
Rack 12,11/30/2021,19:27:16,23.1,26.4,7.67,795,17
Rack 12,11/30/2021,19:28:16,23.2,26.4,7.67,795,18
